ID,DATASET,FOLD,PRE,REC,SPE,F1,GEO,IBA
dataset2,dataset2,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,6,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,12,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,13,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,15,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,16,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,17,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,18,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,21,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,22,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,23,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,24,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,26,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,27,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,28,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,29,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,31,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,32,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,33,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,34,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,35,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,36,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,37,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,38,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,39,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,40,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,41,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,42,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,43,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,44,0.8857,0.8571,0.8095,0.8508,0.8165,0.6698
dataset2,dataset2,45,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,46,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,47,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,48,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dataset2,dataset2,49,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
